room_id,timestamp,power_watts,occupancy,occupancy_count,hour,minute,day_of_week,is_wastage
R101,2026-05-12T00:00:00Z,20.0,0,0,0,0,1,0
R101,2026-05-12T00:15:00Z,13.6,0,0,0,15,1,0
R101,2026-05-12T00:30:00Z,21.5,0,0,0,30,1,0
R101,2026-05-12T00:45:00Z,30.2,0,0,0,45,1,0
R101,2026-05-12T01:00:00Z,12.7,0,0,1,0,1,0
R101,2026-05-12T01:15:00Z,12.7,0,0,1,15,1,0
R101,2026-05-12T01:30:00Z,30.8,0,0,1,30,1,0
R101,2026-05-12T01:45:00Z,22.7,0,0,1,45,1,0
R101,2026-05-12T02:00:00Z,10.3,0,0,2,0,1,0
R101,2026-05-12T02:15:00Z,20.4,0,0,2,15,1,0
R101,2026-05-12T02:30:00Z,10.4,0,0,2,30,1,0
R101,2026-05-12T02:45:00Z,10.3,0,0,2,45,1,0
R101,2026-05-12T03:00:00Z,17.4,0,0,3,0,1,0
R101,2026-05-12T03:15:00Z,0.0,0,0,3,15,1,0
R101,2026-05-12T03:30:00Z,0.0,0,0,3,30,1,0
R101,2026-05-12T03:45:00Z,9.4,0,0,3,45,1,0
R101,2026-05-12T04:00:00Z,4.9,0,0,4,0,1,0
R101,2026-05-12T04:15:00Z,18.1,0,0,4,15,1,0
R101,2026-05-12T04:30:00Z,5.9,0,0,4,30,1,0
R101,2026-05-12T04:45:00Z,0.9,0,0,4,45,1,0
R101,2026-05-12T05:00:00Z,29.7,0,0,5,0,1,0
R101,2026-05-12T05:15:00Z,12.7,0,0,5,15,1,0
R101,2026-05-12T05:30:00Z,15.7,0,0,5,30,1,0
R101,2026-05-12T05:45:00Z,0.8,0,0,5,45,1,0
R101,2026-05-12T06:00:00Z,9.6,0,0,6,0,1,0
R101,2026-05-12T06:15:00Z,16.1,0,0,6,15,1,0
R101,2026-05-12T06:30:00Z,3.5,0,0,6,30,1,0
R101,2026-05-12T06:45:00Z,18.8,0,0,6,45,1,0
R101,2026-05-12T07:00:00Z,9.0,0,0,7,0,1,0
R101,2026-05-12T07:15:00Z,12.1,0,0,7,15,1,0
R101,2026-05-12T07:30:00Z,9.0,0,0,7,30,1,0
R101,2026-05-12T07:45:00Z,33.5,0,0,7,45,1,0
R101,2026-05-12T08:00:00Z,14.9,0,0,8,0,1,0
